RF_ID,Red_Flag,WA_Data_Source,Publicly_Testable,WA_Signal_or_Metric,Status_Notes
RF-01,Rapid Provider Enrollment Growth,DSHS AFH license dataset (formation/license dates); ALTSA caseload forecast,Partial,Count new AFH licenses per year by county; compare to bed/caseload growth,Testable over time with license-date field; this snapshot shows current roster only
RF-02,Spending Growth Disconnected from Population,OFM/DSHS LTC budget; HCA spending-growth reports; Caseload Forecast Council,Yes (program level),"LTC total funds grew from $3.8B (2013-15, WRC 2021) to $10.44B (2023-25, OFM enacted) to $13.07B proposed (2025-27, +25.2%; DSHS-reported enacted ~$12.9B); AFH bargaining +$266M",Documented at program level; per-AFH payment data requires HCA records request
RF-03,Extreme Billing Concentration,HCA Medicaid payment data by provider (not public); proxy: operator clusters,Partial,Provider-payment concentration not public; phone clusters show operator concentration,True billing concentration = records request; operator concentration computed (72 clusters)
RF-04,Provider 'Fraud Tourism' (out-of-state),SOS registered-agent/governor addresses (CCFS); AFH owner address,Partial,Out-of-state governor/agent addresses via CCFS sampling,CCFS API gated; sample via UI; not bulk-computable -> records/manual
RF-05,Incomplete Administrative Data at Enrollment,DSHS licensing files; not published,No (not public),% of applications with incomplete ownership/background data,Internal DSHS metric; records request
RF-06,Excluded Party Involvement,HCA + DSHS exclusion lists; LEIE; AFH licensee names,Partial,Cross-match exclusion names vs AFH operators,Public lists available; join blocked b/c facility names != licensee legal names (0 verified matches)
RF-07,Concealed Ownership of Housing,County assessor parcel ownership vs AFH address; AFH is residence,Partial,Match AFH property owner (assessor) to licensee,Assessor data public per county; cross-match is manual/records-intensive
RF-08,Undisclosed Related-Party Networks,DSHS dataset shared phone/address/contact; SOS common governors,Yes (proxy),Shared-phone clusters: 72 multi-license clusters (up to 4 homes/phone),Computed from public DSHS data; full ownership disclosure (42 CFR 455.104) = records request
RF-09,Phantom / Mailbox Addresses,DSHS address; USPS/commercial-address detection,Partial,AFHs are residences (low risk for AFH); relevant for HCBS agencies (HSS-analogue),AFH model differs from MN HSS; flag mainly applies to in-home/agency HCBS
RF-10,Impossible Hours (overlapping/excessive),HCA claims data (not public),No (not public),Overlapping units per provider/day,Claims-level; records request / HCA program integrity
RF-11,Maximum Unit Billing,HCA claims data (not public),No (not public),Providers billing max daily units for all clients,Claims-level; records request
RF-12,Impossible Locations (out of state),HCA claims + travel records (not public),No (not public),Billing while provider/recipient out of state,Claims+investigation; surfaces only via enforcement cases
RF-13,Billing for Deceased Recipients,HCA claims vs death records (not public),No (not public),Claims after recipient DOD,Claims-level; SAO concurrent-enrollment audit method analogous
RF-14,Cloned / Fabricated Documentation,Investigation reports (PDF narratives),Partial,Read AFH investigation PDFs for documentation findings,Public per facility (586 facilities have investigations) but requires PDF reading
RF-15,Stolen Professional Credentials,Investigation/enforcement narratives; AGO cases,Partial,"Surfaces in enforcement cases (e.g., King Co imposter-nurse conviction 2026)",Public via court/AGO; not a dataset field
RF-16,Ignored Frontline Referrals,SAO audits; complaint-to-action timing (not public),Partial,SAO 2021: Division does not determine credibility of MCO/DSHS fraud allegations,Documented qualitatively in SAO audits; case-timeline detail = records request
RF-17,Political/Social Pressure Chilling Oversight,News; legislative record,Partial,"AFH Council lobbying on fees/funding (public advocacy, not impropriety)",Document advocacy context only; no accusation
RF-18,Chronic Oversight Capacity Shortages,SAO 2021/2023 audits; HHS-OIG,Yes,SAO 2021: no statewide fraud plan; no risk-based audit targeting; reactive posture,Strongly documented in SAO audits
RF-19,Program Design Vulnerability,"Statute/rule (RCW 70.128, WAC 388-76); HCBS waiver design",Yes (qualitative),Assess low-barrier entry / records requirements for AFH & HCBS lines,Documented via rule analysis; AFH has licensing barrier (unlike MN HSS)
RF-20,Unresolved Prior Audit Findings,SAO follow-up; audit recommendation status,Yes,SAO Medicaid PI is a recurring audit series (2021->2023->2025); track recommendation closure,Testable via SAO follow-up reports
